src,dst,channel,mean_rssi,pdr,tx_count,,,,,,,
24,3,12,-50.18,1,100,,,,,,,
24,15,12,-80.78,0.61,100,,,,,,,
25,39,12,-76.32,1,100,,,,,,,
25,36,12,-63.71,1,100,,,,,,,
25,10,12,-65.39,1,100,,,,,,,
25,8,12,-77.07,0.54,100,,,,,,,
25,29,12,-58.36,1,100,,,,,,,
26,31,12,-86.01,0.99,100,,,,,,,
26,16,12,-86.72,0.72,100,,,,,,,
26,21,12,-87.11,0.47,100,,,,,,,
26,6,12,-76.6,0.8,100,,,,,,,
26,14,12,-86.78,0.66,100,,,,,,,
26,5,12,-74.39,1,100,,,,,,,
26,22,12,-67.27,1,100,,,,,,,
26,46,12,-53.65,1,100,,,,,,,
26,1,12,-53.39,1,100,,,,,,,
26,30,12,-71.39,1,100,,,,,,,
26,19,12,-65.39,1,100,,,,,,,
26,47,12,-72.39,0.94,100,,,,,,,
27,15,12,-71.75,0.93,100,,,,,,,
27,24,12,-53.39,1,100,,,,,,,
27,2,12,-43.54,1,100,,,,,,,
27,32,12,-87.01,0.54,100,,,,,,,
27,3,12,-78.01,0.54,100,,,,,,,
27,21,12,-76.02,0.54,100,,,,,,,
27,47,12,-85.21,0.39,100,,,,,,,
28,42,12,-67.9,0.85,100,,,,,,,
28,12,12,-57,0.62,100,,,,,,,
28,37,12,-74.87,0.62,100,,,,,,,
28,0,12,-71.06,0.62,100,,,,,,,
28,35,12,-73.87,0.62,100,,,,,,,
28,33,12,-86.96,0.55,100,,,,,,,
28,48,12,-87.7,0.27,100,,,,,,,
28,49,12,-79.94,0.62,100,,,,,,,
29,39,12,-84.18,1,100,,,,,,,
29,38,12,-82.68,0.6,100,,,,,,,
29,36,12,-84.35,0.94,100,,,,,,,
29,8,12,-73.27,1,100,,,,,,,
29,10,12,-76.36,1,100,,,,,,,
29,25,12,-56.39,1,100,,,,,,,
30,47,12,-75.31,0.66,100,,,,,,,
30,26,12,-70.46,1,100,,,,,,,
30,1,12,-63.74,1,100,,,,,,,
30,22,12,-66.58,1,100,,,,,,,
30,6,12,-87.89,0.19,100,,,,,,,
30,46,12,-86.39,0.95,100,,,,,,,
30,19,12,-86.73,0.63,100,,,,,,,
30,21,12,-87.7,0.27,100,,,,,,,
30,14,12,-87.42,0.36,100,,,,,,,
31,5,12,-50.39,1,100,,,,,,,
31,16,12,-75.77,1,100,,,,,,,
31,11,12,-84.85,0.97,100,,,,,,,
31,26,12,-85.6,0.81,100,,,,,,,
31,44,12,-73.73,1,100,,,,,,,
31,34,12,-59.13,1,100,,,,,,,
31,45,12,-86.17,1,100,,,,,,,
31,41,12,-75.91,1,100,,,,,,,
31,46,12,-77.38,1,100,,,,,,,
31,19,12,-84.55,0.9,100,,,,,,,
31,40,12,-71.82,1,100,,,,,,,
31,22,12,-90.31,0.02,100,,,,,,,
31,47,12,-88.29,0.15,100,,,,,,,
32,4,12,-56.46,1,100,,,,,,,
32,24,12,-78.48,0.63,100,,,,,,,
32,27,12,-86.92,0.59,100,,,,,,,
32,9,12,-66.45,1,100,,,,,,,
32,23,12,-83.51,1,100,,,,,,,
32,3,12,-66,0.94,100,,,,,,,
33,49,12,-63.38,1,100,,,,,,,
33,37,12,-86.78,0.68,100,,,,,,,
33,13,12,-59.39,1,100,,,,,,,
33,28,12,-86.75,0.7,100,,,,,,,
33,43,12,-62.39,1,100,,,,,,,
